Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
liquidificador-philco-plq1550-turbo-12-velocidades-pulsar-1200w-preto,Liquidificador Philco PLQ1550 Turbo 12 Velocidades + Pulsar 1200W - Preto,"<span data-mce-fragment=""1"">Prepare receitas deliciosas com o </span><strong data-mce-fragment=""1"">Liquidificador Philco PLQ1550 Turbo</strong><span data-mce-fragment=""1"">! Com potência de 1200 W, ele garante mais força, eficiência e rapidez. A potência constante permite você triturar, picar, misturar e bater qualquer tipo de alimento. Até os mais duros e consistentes. São 12 velocidades que criam a consistência perfeita para cada tipo de receita. Além disso, o Liquidificador PLQ1550 Turbo da Philco tem função ice, para triturar gelo, função auto limpante, filtro e sobretampa dosadora que facilita sua rotina na cozinha!</span>",Philco,,,"",true,Title,Default Title,,,,,"",0.0,shopify,43,continue,manual,79.00,,true,true,"",https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_11_c3a22b7e-61a3-46b4-a17a-4530eb5fb43a.webp?v=1647133226,1,,false,,,,,,,,,,,,,,,,,kg,,,active
liquidificador-philco-plq1550-turbo-12-velocidades-pulsar-1200w-preto,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_12.webp?v=1647133226,2,,,,,,,,,,,,,,,,,,,,,,
liquidificador-philco-plq1550-turbo-12-velocidades-pulsar-1200w-preto,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_13.webp?v=1647133226,3,,,,,,,,,,,,,,,,,,,,,,
liquidificador-philco-plq1550-turbo-12-velocidades-pulsar-1200w-preto,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_14.webp?v=1647133226,4,,,,,,,,,,,,,,,,,,,,,,
liquidificador-philco-plq1550-turbo-12-velocidades-pulsar-1200w-preto,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_15.webp?v=1647133226,5,,,,,,,,,,,,,,,,,,,,,,
panela-de-pressao-eletrica-philips-daily-collection-ri3103-com-capacidade-de-5-litros,Panela de Pressão Elétrica Philips Daily Collection RI3103 com Capacidade de 5 Litros,"<span data-mce-fragment=""1"">Arroz com seu tempero em apenas três minutos.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Com a grande variedade de programações para cozinhar, a Panela de Pressão Elétrica Philips Daily Collection ajuda a preparar alimentos difíceis em instantes.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">A panela interna de alumínio é durável e oferece condução de calor mais eficaz. O revestimento dourado Whitford com cores especiais é antiarranhões e antiaderente.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Essa panela ainda conta com revestimento externo em aço inoxidável para facilitar a limpeza e vem com concha externa de aço inoxidável delicada e fácil de limpar.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">O tempo de pressão pode ser ajustado de 0 a 60 minutos com base nas diferentes necessidades de sabor e das características dos mais diversos alimentos.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Com o timer fácil de programar a panela começa a manter a pressão, o timer começa a contagem regressiva. Quando o tempo do timer é atingido, a panela ativa o modo de aquecimento automaticamente.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">A Daily Collection da Philips contém 10 tipos de cardápios, incluindo arroz branco, peixe, verduras, raízes, aves, arroz integral, carne de porco, feijão, carne e carne seca.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Mais sabor em menos tempo!</span>",Casa Varejo,,,"",true,Voltagem,110v,,,,,'131,0.0,shopify,56,deny,manual,149.00,,true,true,"",https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_7_3e639a63-667c-4e32-819a-79ec49029054.webp?v=1647061132,1,,false,,,,,,,,,,,,,,,,,kg,,,active
panela-de-pressao-eletrica-philips-daily-collection-ri3103-com-capacidade-de-5-litros,,,,,,,,,220v,,,,,'132,0.0,shopify,0,deny,manual,149.00,,true,true,"",https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_8_666ed62e-bad5-4f76-ac93-8f9f65018961.webp?v=1647061133,2,,,,,,,,,,,,,,,,,,,kg,,,
panela-de-pressao-eletrica-philips-daily-collection-ri3103-com-capacidade-de-5-litros,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_9_8495fc4e-f3dd-4e94-92fe-f8aa3541b27c.webp?v=1647061133,3,,,,,,,,,,,,,,,,,,,,,,
panela-de-pressao-eletrica-philips-daily-collection-ri3103-com-capacidade-de-5-litros,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_10_a0356042-1a76-4ada-aeb5-f8228d5ce5bd.webp?v=1647061133,4,,,,,,,,,,,,,,,,,,,,,,
panela-de-pressao-eletrica-philips-daily-collection-ri3103-com-capacidade-de-5-litros,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0614/8708/7825/products/ArquivoExibir_e6d2c46b-dbcd-483e-bc63-7bd9a8ce3dc7.jpg?v=1647061133,5,,,,,,,,,,,,,,,,,,,,,,
