Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
smartphone-xiaomi-redmi-note-11-cinza-tela-de-6-43-128gb-4gb-de-ram-camera-traseira-quadrupla-android-11-e-processador-snapdragon-680,"Smartphone Xiaomi Redmi Note 11 Cinza Tela de 6,43, 128GB, 4GB de RAM, Câmera Traseira Quádrupla, Android 11 e Processador Snapdragon 680","<span data-mce-fragment=""1"">A série Redmi Note 11 chega com desempenho de campeão e pronto para qualquer desafio. O processador Qualcomm Snapdragon 680 Octa-core com tecnologia de 6nm é rápido, poderoso e gerencia a eficiência energética para aprimorar a vida útil da bateria de 5000mAh. O carregamento ultrarrápido de 33W além de otimizar o seu tempo permite que você volte a usar o smartphone com carga total e máximo desempenho. Aliado ao armazenamento UFS 2.2 mantém a performance fluida e aumenta a velocidade de instalação de aplicativos, leitura e armazenagem de arquivos grandes com rapidez.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">A tela AMOLED FHD+ com DotDisplay é imersiva, oferece taxa de atualização de 90Hz e é extremamente sensível ao toque para você navegar pelos feeds das redes sociais com conforto e jogar games pesados com total responsividade. O motor Z-axis, garante que você se sinta dentro do jogo, oferecendo vibrações precisas em tempo real. A ampla gama de cores DCI-P3 oferece cores ricas, vibrantes e com nível de contraste ideal para você mergulhar em um mundo de maravilhas.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Para intensificar a experiência, conte com os alto falantes duplos localizados nas extremidades do seu smartphone. Usufrua da máxima nitidez visual, exibição legível mesmo sob a luz solar intensa e som estéreo de alta qualidade.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">O design industrial moderno com textura agradável ao toque, garante uma pegada confortável e muito estilo. Leve, minimalista e com moldura plana você carrega o seu Redmi Note 11 no bolso sem notar o peso. Para garantir a segurança do seu smartphone em ambientes externos durante pequenas chuvas, o Redmi Note 11 possui classificação IP53 contra respingos d'água.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Câmeras de 50MP com IA? O Redmi Note 11 tem sim. A câmera principal de 50MP captura a clareza dos detalhes e, a lente ultra angular de 8MP expande suas perspectivas com um campo de visão de 118°. A lente macro de 2MP atende o olhar dos curiosos a procura de detalhes mínimos e o sensor de profundidade de 2MP cuida da naturalidade das suas fotos. A câmera frontal de 13MP é preparada para oferecer nitidez as suas selfies e as funções Modo Noturno 2.0, Caleidoscópio e Modo Vlog, te ajudam a produzir vídeos e fotos incríveis em qualquer lugar, a qualquer hora.</span>",Xiaomi,Eletrônicos > Comunicações > Telefonia > Celulares,,"",true,Title,Default Title,,,,,'7003,600.0,shopify,98,deny,manual,699.90,1247.89,true,true,"",https://cdn.shopify.com/s/files/1/0639/4999/6271/products/01_b31c9967-7db7-4c63-b5f3-cdad0a48e89b.webp?v=1650594548,1,,false,,,,,,,,,,,,,,,,,kg,,,active
smartphone-xiaomi-redmi-note-11-cinza-tela-de-6-43-128gb-4gb-de-ram-camera-traseira-quadrupla-android-11-e-processador-snapdragon-680,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/02_fab8fcfb-4386-4bcf-b696-d1128e83104e.webp?v=1650594548,2,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-note-11-cinza-tela-de-6-43-128gb-4gb-de-ram-camera-traseira-quadrupla-android-11-e-processador-snapdragon-680,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/03_56e29b57-6959-46b3-b494-56da6feaacc1.webp?v=1650594549,3,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-note-11-cinza-tela-de-6-43-128gb-4gb-de-ram-camera-traseira-quadrupla-android-11-e-processador-snapdragon-680,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/04_e1676145-006f-4bdd-a331-fef2108063ef.webp?v=1650594549,4,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-note-11-cinza-tela-de-6-43-128gb-4gb-de-ram-camera-traseira-quadrupla-android-11-e-processador-snapdragon-680,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/05_08625b3d-d8cd-494f-b756-673c50f684de.webp?v=1650594549,5,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-9c-6-53-3gb-64gb-bateria-5000mah-camera-tripla-traseira-13mp-2mp-2mp-cinza,Smartphone Xiaomi Redmi 9C 6.53 3GB 64GB Bateria 5000mAh Câmera Tripla Traseira 13MP+2MP+2MP Cinza,"<span data-mce-fragment=""1"">Conheça o Redmi 9C, um smartphone com tela imersiva, design moderno e bateria de longa duração. Tudo o que você busca em um dispositivo top de linha, o 9C oferece. Com tela de 6.53” HD+ e Dot Drop Display, você ganha mais espaço para visualizar o seu conteúdo de forma nítida, com contraste de cores equilibrado e certificação TÜV Rheinland de baixo nível de luz azul para preservar a saúde dos seus olhos. Ative o modo leitura para garantir o descanso merecido para seus olhos durante a leitura de textos mais longos e controle tudo com praticidade, através dos gestos em tela cheia. Conheça o Redmi 9C, um smartphone com tela imersiva, design moderno e bateria de longa duração. Tudo o que você busca em um dispositivo top de linha, o 9C oferece. Com tela de 6.53” HD+ e Dot Drop Display, você ganha mais espaço para visualizar o seu conteúdo de forma nítida, com contraste de cores equilibrado e certificação TÜV Rheinland de baixo nível de luz azul para preservar a saúde dos seus olhos. Ative o modo leitura para garantir o descanso merecido para seus olhos durante a leitura de textos mais longos e controle tudo com praticidade, através dos gestos em tela cheia.</span>",Xiaomi,Eletrônicos > Comunicações > Telefonia > Celulares,,"",true,Title,Default Title,,,,,'3301,700.0,shopify,159,deny,manual,388.90,639.90,true,true,"",https://cdn.shopify.com/s/files/1/0639/4999/6271/products/01_38f8d175-21be-451a-ac40-437a014d1bff.jpg?v=1650594467,1,,false,,,,,,,,,,,,,,,,,kg,,,active
smartphone-xiaomi-redmi-9c-6-53-3gb-64gb-bateria-5000mah-camera-tripla-traseira-13mp-2mp-2mp-cinza,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/02_a21afbd6-92e7-4bee-9897-4026caedaf7a.webp?v=1650594467,2,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-9c-6-53-3gb-64gb-bateria-5000mah-camera-tripla-traseira-13mp-2mp-2mp-cinza,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/03_77c346e0-77b9-4e75-beb6-7640b3ba83f1.jpg?v=1650594467,3,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-9c-6-53-3gb-64gb-bateria-5000mah-camera-tripla-traseira-13mp-2mp-2mp-cinza,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/4999/6271/products/04_8fc92332-d311-4742-9c9c-244068b06b2f.jpg?v=1650594467,4,,,,,,,,,,,,,,,,,,,,,,
smartphone-xiaomi-redmi-9a-cinza-32gb-tela-de-6-53-2gb-de-ram-camera-traseira-13mp-android-10-e-processador-octa-core,"Smartphone Xiaomi Redmi 9A Cinza 32GB, Tela de 6.53, 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core","<p><span data-mce-fragment=""1"">A série Redmi acaba de ganhar mais um aliado: conheça o </span><strong data-mce-fragment=""1"">Redmi 9A</strong><span data-mce-fragment=""1""> o Smartphone que oferece mais tela, mais bateria e um design 3D único. São 6.53” de tela HD+ e Dot Drop Display para uma experiência imersiva em jogos e vídeos, com a proteção TÜV Rheinland contra luz azul.</span></p>
<p><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Jogue por horas seguidas, assista filmes, séries e garanta a saúde dos seus olhos.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Personalize o brilho, contraste e cores da sua tela através do Modo Leitura e tenha uma experiência mais confortável. Se preferir mais praticidade, ative os </span><strong data-mce-fragment=""1"">Gestos em Tela Cheia</strong><span data-mce-fragment=""1""> e controle os comandos do seu smartphone com os movimentos do seu dedo.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">O </span><strong data-mce-fragment=""1"">Smartphone Xiaomi Redmi 9A<span data-mce-fragment=""1""> </span></strong><span data-mce-fragment=""1"">possui IA otimizada na câmera traseira, que captura rapidamente fotos nítidas e claras em uma variedade de cenários diferentes. A </span>câmera principal de 13MP com abertura de foco e f/2.2 - AF, oferece flash único e efeitos caleidoscópio que mudam a dinâmica dos seus vídeos, deixando tudo mais divertido e criativo.<strong data-mce-fragment=""1""><br data-mce-fragment=""1""></strong><br data-mce-fragment=""1"">A câmera frontal de 5MP com abertura de foco de f/2.2, registra selfies incríveis de forma prática, basta ativar o Palm Shutter e disparar a foto com ainda mais conveniência. O desempenho sólido e estável do Redmi 9A fica por conta do processador MediaTek Helio G25 octa-core de até 2.0Ghz, com arquitetura de 12nm, que é otimizada para jogos. Ganhe fluidez e qualidade para todas as formas de uso, sem qualquer interrupção.</p>
<p><br data-mce-fragment=""1"">A bateria de 5000mAh de alta capacidade, dá o suporte que você precisa para um dia inteiro de uso. O processo de desenvolvimento do Redmi 9A, aprimorou o tempo de vida útil da bateria para oferecer carregamentos com muita qualidade e eficácia. Ouça músicas com seu fone favorito, basta conectá-lo à entrada P2 e pronto. O Redmi 9A oferece tecnologia Dual 4G e Dual SIM com slot para MicroSD, expansível a até 512GB. Com o Redmi 9A você tem o melhor da tecnologia na palma da sua mão!</p>",Xiaomi,Eletrônicos > Comunicações > Telefonia > Celulares,,"",true,Title,Default Title,,,,,'3306,600.0,shopify,206,deny,manual,327.90,579.90,true,true,"",https://cdn.shopify.com/s/files/1/0639/4999/6271/products/01_a544641e-904b-4638-86d9-8849dbe9e1d0.webp?v=1650594403,1,,false,,,,,,,,,,,,,,,,,kg,,,active
