Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brasil,Included / Internacional,Price / Internacional,Compare At Price / Internacional,Status
kit-completo-essencial-pearls-pele-iluminada,KIT COMPLETO ESSENCIAL PEARLS - PELE ILUMINADA,"<div class=""ecom-block ecom-core core__block ecom-3gjoy78tvu2"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element element__heading ecom-element ecom-html"" data-stopdrag=""true"" data-mce-fragment=""1"" deep=""1"">
<h3 class=""ecom__heading"" data-mce-fragment=""1"">Tenha a<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">pele dos sonhos<span data-mce-fragment=""1""> </span></b>com uma<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">formulação avançada</b><b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b>
</h3>
</div>
</div>
<div class=""ecom-block ecom-core core__block elmspace ecom-tux4tcjr9o"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element ecom-element element__text"" data-stopdrag="""" data-mce-fragment=""1"" deep=""1"">
<div class=""text-content ecom-html has-drop-cap-view-default"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">Um poderoso arsenal contra rugas e possui propriedades antioxidantes que combatem incansavelmente os radicais livres, principais vilões do envelhecimento da pele. Ao mesmo tempo, o Essential Pearls Rosa Selvagem restaura o volume facial, trazendo:
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
</div>
</div>
</div>
</div>
<div class=""ecom-block ecom-core core__block ecom-v2xpj8hvlgs"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom-element ecom-base-iconlist"" data-mce-fragment=""1"" deep=""1"">
<ul class=""ecom-iconlist--list"" data-layout=""inline"" data-mce-fragment=""1"">
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">hidratação para pele</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Melhora nas rugas e linhas</b><span data-mce-fragment=""1""> </span>de expressão</p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">firmeza</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Efeito<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">iluminador</b></p>
<div data-core-is=""block"" class=""ecom-block ecom-core core__block ecom-fg4zekv6peb"">
<div data-stopdrag=""true"" class=""ecom__element element__heading ecom-element ecom-html"" deep=""1"">
<h3 class=""ecom__heading"">
<b>Como usar<span> </span></b>o Essential Pearls?</h3>
<div>Antes de aplicar o Essential Pearls Rosa Selvagem, lave delicadamente o rosto com água morna e seque suavemente. Pegue algumas gotas do sérum, aqueça entre as palmas das mãos e aplique no rosto, pescoço e colo em movimentos circulares ascendentes. Massageie suavemente para promover a absorção e estimular a circulação. <br><b></b>
</div>
</div>
</div>
<div data-core-is=""block"" class=""ecom-block ecom-core core__block elmspace ecom-b4qfsyg9ec"">
<div data-stopdrag="""" class=""ecom__element ecom-element element__text"" deep=""1"">
<div class=""text-content ecom-html has-drop-cap-view-default"">
<div><br></div>
<div>Preste atenção especial às áreas com rugas e linhas de expressão.<b><span> </span>Sinta a textura leve e sedosa do sérum nutrindo sua pele profundamente.</b>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</li>
</ul>
</div>
</div>",Rosa Selvagem,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,159.99,197.99,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_23099c79-0e4a-4ca8-86fa-852de104e887.webp?v=1693117755,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
kit-completo-essencial-pearls-pele-iluminada,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_591aa662-d227-4dca-b69b-39cbed25125d.webp?v=1693117755,2,,,,,,,,,,,,,,,,,,,,,,,,
kit-completo-essencial-pearls-pele-iluminada,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_7e5a7d58-2f6d-41b2-9bc3-24ec1cbaaa29.webp?v=1693117755,3,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-2-unidades,ESSENCIAL PEARLS - PÉROLAS DE OURO ILUMINADORA COM RESVERATROL 2 UNIDADES,"<div class=""ecom-block ecom-core core__block ecom-3gjoy78tvu2"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element element__heading ecom-element ecom-html"" data-stopdrag=""true"" data-mce-fragment=""1"" deep=""1"">
<h3 class=""ecom__heading"" data-mce-fragment=""1"">Tenha a<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">pele dos sonhos<span data-mce-fragment=""1""> </span></b>com uma<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">formulação avançada</b><b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b>
</h3>
</div>
</div>
<div class=""ecom-block ecom-core core__block elmspace ecom-tux4tcjr9o"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element ecom-element element__text"" data-stopdrag="""" data-mce-fragment=""1"" deep=""1"">
<div class=""text-content ecom-html has-drop-cap-view-default"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">Um poderoso arsenal contra rugas e possui propriedades antioxidantes que combatem incansavelmente os radicais livres, principais vilões do envelhecimento da pele. Ao mesmo tempo, o Essential Pearls Rosa Selvagem restaura o volume facial, trazendo:
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
</div>
</div>
</div>
</div>
<div class=""ecom-block ecom-core core__block ecom-v2xpj8hvlgs"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom-element ecom-base-iconlist"" data-mce-fragment=""1"" deep=""1"">
<ul class=""ecom-iconlist--list"" data-layout=""inline"" data-mce-fragment=""1"">
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">hidratação para pele</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Melhora nas rugas e linhas</b><span data-mce-fragment=""1""> </span>de expressão</p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">firmeza</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Efeito<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">iluminador</b></p>
</div>
</div>
</div>
</li>
</ul>
</div>
</div>",Rosa Selvagem,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,169.89,194.99,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_7b087947-be4b-44ce-90a0-19d7beb4f14a.webp?v=1693117607,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-2-unidades,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_5de7e615-80b9-4e43-b6ea-2c338aa24894.webp?v=1693117607,2,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-2-unidades,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_8c770e84-6b79-4cea-9476-ae568d1f4a45.webp?v=1693117608,3,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol,ESSENCIAL PEARLS - PÉROLAS DE OURO ILUMINADORA COM RESVERATROL,"<div class=""ecom-block ecom-core core__block ecom-3gjoy78tvu2"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element element__heading ecom-element ecom-html"" data-stopdrag=""true"" data-mce-fragment=""1"" deep=""1"">
<h3 class=""ecom__heading"" data-mce-fragment=""1"">Tenha a<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">pele dos sonhos<span data-mce-fragment=""1""> </span></b>com uma<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">formulação avançada</b><b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b>
</h3>
</div>
</div>
<div class=""ecom-block ecom-core core__block elmspace ecom-tux4tcjr9o"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element ecom-element element__text"" data-stopdrag="""" data-mce-fragment=""1"" deep=""1"">
<div class=""text-content ecom-html has-drop-cap-view-default"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">Um poderoso arsenal contra rugas e possui propriedades antioxidantes que combatem incansavelmente os radicais livres, principais vilões do envelhecimento da pele. Ao mesmo tempo, o Essential Pearls Rosa Selvagem restaura o volume facial, trazendo:
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
</div>
</div>
</div>
</div>
<div class=""ecom-block ecom-core core__block ecom-v2xpj8hvlgs"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom-element ecom-base-iconlist"" data-mce-fragment=""1"" deep=""1"">
<ul class=""ecom-iconlist--list"" data-layout=""inline"" data-mce-fragment=""1"">
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">hidratação para pele</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Melhora nas rugas e linhas</b><span data-mce-fragment=""1""> </span>de expressão</p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Mais<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">firmeza</b></p>
</div>
</div>
</div>
</li>
<li class=""ecom-iconlist--item ecom-html"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""ecom-iconlist--container"" data-mce-fragment=""1"">
<span class=""ecom-iconlist--icon"" data-mce-fragment=""1""></span>
<div class=""ecom-iconlist-content"" data-mce-fragment=""1"">
<p class=""ecom-iconlist--title"" data-mce-fragment=""1"">Efeito<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">iluminador</b></p>
</div>
</div>
</div>
</li>
</ul>
</div>
</div>",Rosa Selvagem,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,97.99,139.90,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_1d259fcc-6b0f-4673-94ab-b7835f298e13.webp?v=1693117502,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_2a15da18-7623-4aaa-b234-1b9771b2894e.webp?v=1693117502,2,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_7a678a22-ec8d-4216-9964-5ceff67ba18b.webp?v=1693117502,3,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-3-unidades,ESSENCIAL PEARLS - PÉROLAS DE OURO ILUMINADORA COM RESVERATROL 3 UNIDADES,"<span data-mce-fragment=""1"">Descubra o poder transformador do Essential Pearls Rosa Selvagem, um sérum revitalizante anti-aging (anti envelhecimento) verdadeiramente inovador e sofisticado que redefinirá seus conceitos de cuidados com a pele.</span>",Rosa Selvagem,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,229.30,291.89,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_056cdb6c-6c7d-4b70-8c90-f66cbe6b36ac.webp?v=1693117395,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
