Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
maange-pro-2-7-8pcs-makeup-sponge-waterdrop-super-soft-cosmetics-puff-blender-for-powder-liquid-cream-foundation-tool-wholesale,Kit: 7 Esponjinhas Amarela de Maquiagem BBB CREAM no Pote,"<p>A esponja de maquiagem serve basicamente para passar base ou corretivo. Auxilia as pessoas que não possuem prática e que, muitas vezes, ao utilizarem pincéis para a aplicação dos produtos, acabam deixando aquele efeito craquelado devido ao acúmulo de produto em uma única região, em um lindo e higiênico suporte.<br><strong><br></strong>Material POLIURETANO<br><br> <strong>Conteúdo do Pedido</strong><strong><br></strong>7 Esponjinhas Amarela de Maquiagem + Pote<br></p>",My Store,,200001190,"e-girl maquiagem, esponja de maquiagem, esponja que blogueiras usam, esponjinha de maquiagem, kit, kitm, kits, make, make up, maquiagem, maquiagem de blogueira",true,Cor da Esponjinha,Esponjinha Amarela,,,,,14:366#7PCS yellow,0.0,,0,deny,manual,89.90,150.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo.jpg?v=1693239404,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo1.jpg?v=1693239404,kg,,,true,true,,,active
maange-pro-2-7-8pcs-makeup-sponge-waterdrop-super-soft-cosmetics-puff-blender-for-powder-liquid-cream-foundation-tool-wholesale,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo1.jpg?v=1693239404,2,,,,,,,,,,,,,,,,,,,,,,,,
maange-pro-2-7-8pcs-makeup-sponge-waterdrop-super-soft-cosmetics-puff-blender-for-powder-liquid-cream-foundation-tool-wholesale,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo2.jpg?v=1693239404,3,,,,,,,,,,,,,,,,,,,,,,,,
maange-pro-2-7-8pcs-makeup-sponge-waterdrop-super-soft-cosmetics-puff-blender-for-powder-liquid-cream-foundation-tool-wholesale,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo4.jpg?v=1693239404,4,,,,,,,,,,,,,,,,,,,,,,,,
maange-pro-2-7-8pcs-makeup-sponge-waterdrop-super-soft-cosmetics-puff-blender-for-powder-liquid-cream-foundation-tool-wholesale,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-amarelo5.jpg?v=1693239404,5,,,,,,,,,,,,,,,,,,,,,,,,
maange-7-10pcs-diamond-makeup-brushes-set-powder-foundation-eye-shadow-blush-blending-cosmetics-beauty-make-up-brush-tool-kits,Kit: 7 Pincéis Metálicos de Maquiagem e-Girl,"<p>A maquiagem e-girl não segue padrões convencionais que estamos acostumadas no cotidiano. Elas preferem uma maquiagem criativa e divertida, capaz de trazer um ritmo descolado e autêntico. Fazem tudo isso sem abrir mão de delineadores, blush e batom, geralmente vermelho ou rosa.<br><strong><br></strong>Material da Cerdas NYLON<br> Material do cabo POLIPROPILENO<br><br> <strong>Conteúdo do Pedido</strong><strong><br></strong>07 Pincéis Metálicos de Maquiagem<br></p>",My Store,,200001189,"e-girl maquiagem, kitm, make, make up, maquiagem, maquiagem de blogueira, maquiagempincel, paleta de maquiagem, pincel, pincel de maquiagem, pincel para olhos, pincel para sombrancelha",true,Cor Metálica do Pincél,Rose Metálico,,,,,200007787:173#rose golden-7pcs,0.0,,0,deny,manual,69.90,220.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades.jpg?v=1693239411,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades3.jpg?v=1693239411,kg,,,true,true,,,active
maange-7-10pcs-diamond-makeup-brushes-set-powder-foundation-eye-shadow-blush-blending-cosmetics-beauty-make-up-brush-tool-kits,,,,,,,,,Colorido Metálico,,,,,200007787:366#purple-7pcs,0.0,,0,deny,manual,69.90,220.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades4.jpg?v=1693239411,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades4.jpg?v=1693239411,kg,,,,,,,
maange-7-10pcs-diamond-makeup-brushes-set-powder-foundation-eye-shadow-blush-blending-cosmetics-beauty-make-up-brush-tool-kits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades3.jpg?v=1693239411,3,,,,,,,,,,,,,,,,,,,,,,,,
maange-7-10pcs-diamond-makeup-brushes-set-powder-foundation-eye-shadow-blush-blending-cosmetics-beauty-make-up-brush-tool-kits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Kit-De-Pinceis-metalico-com-7-unidades.1jpg.jpg?v=1693239411,4,,,,,,,,,,,,,,,,,,,,,,,,
copia-de-kit-de-7-esponjinhas-rosa-de-maquiagem-bbb-cream-com-um-lindo-suporte,Kit: 7 Esponjinhas Verde de Maquiagem BBB CREAM no Suporte,"<p>A esponja de maquiagem serve basicamente para passar base ou corretivo. Auxilia as pessoas que não possuem prática e que, muitas vezes, ao utilizarem pincéis para a aplicação dos produtos, acabam deixando aquele efeito craquelado devido ao acúmulo de produto em uma única região, em um lindo e higiênico suporte.<br><strong><br></strong>Material POLIURETANO<br><br> <strong>Conteúdo do Pedido</strong><strong><br></strong>7 Esponjinhas Amarela de Maquiagem + Pote<br></p>",My Store,,"","e-girl maquiagem, esponja de maquiagem, esponja que blogueiras usam, esponjinha de maquiagem, kitm, make, make up, maquiagem, maquiagem de blogueira, paleta de maquiagem",true,Cor da Esponjinha,7 Esponjinhas Verde,,,,,14:173#7PCS-Pink,0.0,,0,deny,manual,89.90,150.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-verde.jpg?v=1693239422,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-verde1.jpg?v=1693239422,kg,,,true,true,,,active
copia-de-kit-de-7-esponjinhas-rosa-de-maquiagem-bbb-cream-com-um-lindo-suporte,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-verde1.jpg?v=1693239422,2,,,,,,,,,,,,,,,,,,,,,,,,
copia-de-kit-de-7-esponjinhas-rosa-de-maquiagem-bbb-cream-com-um-lindo-suporte,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kit-Pote-com-7-esponja-de-maquiagem-verde3.jpg?v=1693239422,3,,,,,,,,,,,,,,,,,,,,,,,,
kit-de-7-esponjinhas-para-maquiagem-bbb-cream-com-um-lindo-suporte,Kit: 7 Esponjinhas Rosa de Maquiagem BBB CREAM no Pote,"<p>A esponja de maquiagem serve basicamente para passar base ou corretivo. Auxilia as pessoas que não possuem prática e que, muitas vezes, ao utilizarem pincéis para a aplicação dos produtos, acabam deixando aquele efeito craquelado devido ao acúmulo de produto em uma única região, em um lindo e higiênico suporte.<br><strong><br></strong>Material POLIURETANO<br><br> <strong>Conteúdo do Pedido</strong><strong><br></strong>7 Esponjinhas Amarela de Maquiagem + Pote<br></p>",My Store,,"","e-girl maquiagem, esponja de maquiagem, esponja que blogueiras usam, esponjinha de maquiagem, kit, kitm, kits, make, make up, maquiagem, maquiagem de blogueira, paleta de maquiagem",true,Cor da Esponjinha,7 Esponjinhas Rosa,,,,,14:173#7PCS-Pink,0.0,,0,deny,manual,89.90,150.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kitPotecom7esponjademaquiagemrosa.jpg?v=1693239428,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kitPotecom7esponjademaquiagemrosa_1.jpg?v=1693239428,kg,,,true,true,,,active
kit-de-7-esponjinhas-para-maquiagem-bbb-cream-com-um-lindo-suporte,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kitPotecom7esponjademaquiagemrosa_1.jpg?v=1693239428,2,,,,,,,,,,,,,,,,,,,,,,,,
kit-de-7-esponjinhas-para-maquiagem-bbb-cream-com-um-lindo-suporte,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kitPotecom7esponjademaquiagemrosa_2.jpg?v=1693239428,3,,,,,,,,,,,,,,,,,,,,,,,,
kit-de-7-esponjinhas-para-maquiagem-bbb-cream-com-um-lindo-suporte,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/kitPotecom7esponjademaquiagemrosa_3.jpg?v=1693239428,4,,,,,,,,,,,,,,,,,,,,,,,,
