Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
pillow-top-iws-pluma-natural-de-ganso,Pillow Top IWS Pluma Natural de Ganso,"<p style=""font-size: 18px; color: #741254;""><strong>Já pensou em ter o conforto de uma cama de hotel 5 estrelas, na sua casa? O Pillow Top IWS Pluma Natural de Ganso te proporciona essa experiência</strong></p>
<p>O Pillow Top IWS Pluma Natural de Ganso atua como uma camada extra de conforto na sua cama, trazendo uma sensação única de conforto e bem-estar.</p>
<p> </p>
<ul>
<li>As <strong>penas</strong> promovem a resiliência (""efeito mola""), sendo desta forma responsáveis pelo suporte</li>
<li>As <strong>plumas</strong> são macias e delicadas, trazendo conforto e o efeito ""nuvem"".</li>
<li>Revestimento <strong>100% Organic Cotton IWS</strong>, proporcionando uma excelente regulagem térmica, para uma melhor note de sono<span style=""font-size: 0.875rem;"">.</span>
</li>
</ul>",eÓtica,,Pillow Top,dormir,true,Tamanho,Solteiro (1.00x2.00m,,,,,'3254,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_1.1_9b4e1ead-d35d-4691-8619-66f00719707e.png?v=1693498114,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
pillow-top-iws-pluma-natural-de-ganso,,,,,,,,,Casal (1.40x2.00m),,,,,'3249,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_3_da13da34-2ba6-4efc-b2f0-eea0d275e275.png?v=1693498114,2,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-pluma-natural-de-ganso,,,,,,,,,Queen (1.60x2.00m),,,,,'3251,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_4_d93ed706-fcc1-40e4-a7f5-068ec4473296.png?v=1693498114,3,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-pluma-natural-de-ganso,,,,,,,,,Super King (2.00x2.00m),,,,,'3253,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_6_fc814ec7-faf5-40f0-94cb-8962816d34ee.png?v=1693498114,4,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-pluma-natural-de-ganso,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_5_2f0aabd0-9441-4b3c-9f74-9ddec4120781.png?v=1693498114,5,,,,,,,,,,,,,,,,,,,,,,,,
pillow-top-iws-pluma-natural-de-ganso,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_2_c1401160-cd20-4919-bccd-da86f04f7a34.png?v=1693498114,6,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-qe-2x-trv-pluma-touch-50x70-2x-melat,Kit PillowTop Queen+ 2 Travesseiros + 2 Protetores + Melatonina,"<p style=""font-size: 18px; color: #741254;"" data-mce-style=""font-size: 18px; color: #741254;""><span style=""color: #741254;"" data-mce-style=""color: #741254;""><strong>Kit composto por:</strong></span></p>
<ul>
<li>
<strong>01x PillowTop IWS Cloud | Conforto Intermediário (Tamanho Queen 1,58x1,98m)</strong>: Uma excelente opção para quem busca um Pillow Top que complemente o conforto do colchão, mas que não seja macio demais, mantendo assim o suporte que o colchão fornece.<br data-mce-fragment=""1"">
</li>
<li>
<strong data-mce-fragment=""1"">02x Travesseiro IWS Pluma Touch® 50x70cm</strong>: Feito para quem gosta de um travesseiro confortável e macio, sem perder o suporte.</li>
<li>
<strong>02x Protetor de Travesseiro IWS Impermeável 50X70cm</strong>: Um item indispensável para a saúde do seu sono. Tem uma camada impermeável que protege o travesseiro da umidade, evitando o acúmulo de ácaros e bactérias.</li>
<li>
<strong>01x Melatonina Líquida IWS 30ml Maracujá 750 gotas</strong>: Solução desenvolvida pela I wanna sleep para te ajudar a pegar no sono mais rápido, sem os riscos envolvidos no uso de medicamentos para dormir.</li>
</ul>
<p>Perfeito para dar aquele conforto extra na sua cama! 😴</p>",eÓtica,,"",dormir,true,Title,Default Title,,,,,3133+3114-1x2+3166x2+3112,0.0,,0,deny,manual,209.90,499.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTopIWSCloud_2xTRVPlumaTouch_2xProtetorTRV_Melatonina_1ee071d9-477c-4804-9e59-5d5526b8d7d2.png?v=1693498126,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
kit-pillow-top-iws-cloud-qe-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowCloud_SP_Logo_237a47ad-6abe-46f1-9e68-fa5173c1d615.png?v=1693498126,2,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-qe-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PlumaTouch_SP_Logo_c3b8b70c-48bb-4a5e-9ee3-f1c204294928.png?v=1693498126,3,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-qe-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/vidro_melatonina_6c840eda-3d73-4060-9bd9-dbc565500de5.png?v=1693498126,4,,,,,,,,,,,,,,,,,,,,,,,,
