Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
hidratante-victorias-secret-originais-250-ml,Hidratante Victoria's Secret Original 250 ml,"<div>
<img src=""https://cdn.shopify.com/s/files/1/0758/4052/0507/files/2_eab35ee2-5e4b-4301-86f5-289fb63ff7b8_480x480.jpg?v=1683986608"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0758/4052/0507/files/2_eab35ee2-5e4b-4301-86f5-289fb63ff7b8_480x480.jpg?v=1683986608""><img src=""https://cdn.shopify.com/s/files/1/0758/4052/0507/files/HidratanteVictoria_sSecretOriginais250ml_480x480.jpg?v=1683984378"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0758/4052/0507/files/HidratanteVictoria_sSecretOriginais250ml_480x480.jpg?v=1683984378""><img src=""https://cdn.iset.io/assets/63034/arquivos/imagens/70ada1b2-df1e-4659-80b2-5e60e97167cc.png"" alt="""">
</div>
<div><img src=""https://cdn.iset.io/assets/63034/arquivos/imagens/0749036a-6ed1-45a9-ab32-19ed47c3d0fd.png"" alt=""""></div>",eÓtica,,"",hidratante,true,Title,LOVE SPELL,,,,,Love Spell,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/design-sem-nome-631-6b48dc0be742d8728516765689135323-1024-1024_820ac232-af47-4047-96a4-7e74fb395d80.webp?v=1693843955,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/2_8cc2bc0f-6203-4bb1-ad30-5c769c0cf389.jpg?v=1693843956,kg,,,true,true,,,active
hidratante-victorias-secret-originais-250-ml,,,,,,,,,BARE VANILLA,,,,,Bare Vanilla,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/2_8fbed93b-a8c3-46e3-bd51-b9f2a9d92230.jpg?v=1693843955,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/HidratanteVictoria_sSecretOriginais250mlVanilla.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,AQUA KISS,,,,,Aqua Kiss,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/4_e58efff1-12cf-46dc-8db3-123c46442243.jpg?v=1693843955,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/5.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,AMBER ROMANCE,,,,,Amber Romance,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/3_4492ee14-505a-4914-a937-474b5dbd0218.jpg?v=1693843955,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/8.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,PURE SEDUCTION,,,,,Pure Seduction,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/5_1981167b-c04c-494c-aad7-a288fab5fc70.jpg?v=1693843955,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/HidratanteVictoria_sSecretOriginais250mlpure.png?v=1693843955,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,COCONUT PASSION,,,,,Coconut Passion,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/HidratanteVictoria_sSecretOriginais250mlpure.png?v=1693843955,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/1_4deef322-bc09-4b47-abb4-34d9969bed7f.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,VELVET PETALS,,,,,Velvet Petals,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/HidratanteVictoria_sSecretOriginais250mlVanilla.jpg?v=1693843956,7,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/4.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,TEMPTATION,,,,,Love Spell,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/1_4deef322-bc09-4b47-abb4-34d9969bed7f.jpg?v=1693843956,8,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/6.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,RUSH,,,,,Rush,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/2_8cc2bc0f-6203-4bb1-ad30-5c769c0cf389.jpg?v=1693843956,9,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/7.jpg?v=1693843956,kg,,,,,,,
hidratante-victorias-secret-originais-250-ml,,,,,,,,,ROMANTIC,,,,,Romantic,0.0,,0,deny,manual,69.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/4.jpg?v=1693843956,10,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/9.jpg?v=1693843956,kg,,,,,,,
