Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
melissa-free-fuzzy-printed-platform,Melissa Free Fuzzy Printed Platform,"<p><span>A Melissa Free Fuzzy Platform, é um chinelo que une design contemporâneo e conforto. Sua plataforma em EVA proporciona leveza ao caminhar, com um toque de estilo descontraído. Versátil e moderno, este modelo é a escolha ideal para quem busca praticidade sem abrir mão do charme. Destaque para as versões com estampas que adicionam elementos de personalidade ao seu estilo cotidiano!</span></p>",Saint,,"","",true,Tamanho,33/34,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_13.jpg?v=1715450864,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
melissa-free-fuzzy-printed-platform,,,,,,,,,35,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_14.jpg?v=1715450864,2,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform,,,,,,,,,36,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_16.jpg?v=1715450864,3,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform,,,,,,,,,37,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_15.jpg?v=1715450864,4,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform,,,,,,,,,38,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_17.jpg?v=1715450864,5,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform,,,,,,,,,39/40,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform-1,Melissa Free Fuzzy Printed Platform,"<p><span>A Melissa Free Fuzzy Platform, é um chinelo que une design contemporâneo e conforto. Sua plataforma em EVA proporciona leveza ao caminhar, com um toque de estilo descontraído. Versátil e moderno, este modelo é a escolha ideal para quem busca praticidade sem abrir mão do charme. Destaque para as versões com estampas que adicionam elementos de personalidade ao seu estilo cotidiano!</span></p>",Saint,,"","",true,Tamanho,33/34,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_18.jpg?v=1715450856,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
melissa-free-fuzzy-printed-platform-1,,,,,,,,,35,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_22.jpg?v=1715450856,2,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform-1,,,,,,,,,36,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_19.jpg?v=1715450856,3,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
melissa-free-fuzzy-printed-platform-1,,,,,,,,,37,,,,,"",0.0,shopify,999,deny,manual,49.90,133.00,true,true,"",https://cdn.shopify.com/s/files/1/0691/5214/5640/files/download_20.jpg?v=1715450856,4,"",,,,,,,,,,,,,,,,kg,,,,,,,,,
